"TambonID", "TambonThai", "TambonThaiShort", "PostCodeMain", "PostCodeAll", "PostalCodeRemark", "DistrictID", "DistrictThai", "DistrictThaiShort", "ProvinceID", "ProvinceThai"
"100701", "แขวงรองเมือง", "รองเมือง", "10330", "10330", "", "1007", "เขตปทุมวัน", "ปทุมวัน", "10", "กรุงเทพมหานคร"
"100702", "แขวงวังใหม่", "วังใหม่", "10330", "10110", "ยกเว้น ศาลแขวงปทุมวัน ใช้รหัส 10500, อาคารเพลินจิตเซ็นเตอร์ ใช้รหัส 10110, อาคารลุมพินีทาวเวอร์ ใช้รหัส 10120, อาคารวิทยุคอมเพล็กซ์ บ้านปทุมวัน ปทุมวันรีสอร์ท และ ธนาคารไทยพาณิชย์สาขาชิดลม ใช้รหัส 10400", "1007", "เขตปทุมวัน", "ปทุมวัน", "10", "กรุงเทพมหานคร"
"100702", "แขวงวังใหม่", "วังใหม่", "10330", "10500", "ยกเว้น ศาลแขวงปทุมวัน ใช้รหัส 10500, อาคารเพลินจิตเซ็นเตอร์ ใช้รหัส 10110, อาคารลุมพินีทาวเวอร์ ใช้รหัส 10120, อาคารวิทยุคอมเพล็กซ์ บ้านปทุมวัน ปทุมวันรีสอร์ท และ ธนาคารไทยพาณิชย์สาขาชิดลม ใช้รหัส 10400", "1007", "เขตปทุมวัน", "ปทุมวัน", "10", "กรุงเทพมหานคร"
"100703", "แขวงปทุมวัน", "ปทุมวัน", "10330", "10330", "", "1007", "เขตปทุมวัน", "ปทุมวัน", "10", "กรุงเทพมหานคร"
"100704", "แขวงลุมพินี", "ลุมพินี", "10330", "10330", "", "1007", "เขตปทุมวัน", "ปทุมวัน", "10", "กรุงเทพมหานคร"
"100801", "แขวงป้อมปราบ", "ป้อมปราบ", "10100", "10100", "", "1008", "เขตป้อมปราบศัตรูพ่าย", "ป้อมปราบศัตรูพ่าย", "10", "กรุงเทพมหานคร"
"100802", "แขวงวัดเทพศิรินทร์", "วัดเทพศิรินทร์", "10100", "10100", "", "1008", "เขตป้อมปราบศัตรูพ่าย", "ป้อมปราบศัตรูพ่าย", "10", "กรุงเทพมหานคร"
"100803", "แขวงคลองมหานาค", "คลองมหานาค", "10100", "10100", "", "1008", "เขตป้อมปราบศัตรูพ่าย", "ป้อมปราบศัตรูพ่าย", "10", "กรุงเทพมหานคร"
"100804", "แขวงบ้านบาตร", "บ้านบาตร", "10100", "10100", "", "1008", "เขตป้อมปราบศัตรูพ่าย", "ป้อมปราบศัตรูพ่าย", "10", "กรุงเทพมหานคร"
"100805", "แขวงวัดโสมนัส", "วัดโสมนัส", "10100", "10100", "", "1008", "เขตป้อมปราบศัตรูพ่าย", "ป้อมปราบศัตรูพ่าย", "10", "กรุงเทพมหานคร"
"100905", "แขวงบางจาก", "บางจาก", "10260", "10260", "", "1009", "เขตพระโขนง", "พระโขนง", "10", "กรุงเทพมหานคร"
"100910", "แขวงพระโขนงใต้", "พระโขนงใต้", "10260", "10260", "", "1009", "เขตพระโขนง", "พระโขนง", "10", "กรุงเทพมหานคร"
"101001", "แขวงมีนบุรี", "มีนบุรี", "10510", "10510", "", "1010", "เขตมีนบุรี", "มีนบุรี", "10", "กรุงเทพมหานคร"
"101002", "แขวงแสนแสบ", "แสนแสบ", "10510", "10510", "", "1010", "เขตมีนบุรี", "มีนบุรี", "10", "กรุงเทพมหานคร"
"101101", "แขวงลาดกระบัง", "ลาดกระบัง", "10520", "10520", "", "1011", "เขตลาดกระบัง", "ลาดกระบัง", "10", "กรุงเทพมหานคร"
"101102", "แขวงคลองสองต้นนุ่น", "คลองสองต้นนุ่น", "10520", "10520", "", "1011", "เขตลาดกระบัง", "ลาดกระบัง", "10", "กรุงเทพมหานคร"
"101103", "แขวงคลองสามประเวศ", "คลองสามประเวศ", "10520", "10520", "", "1011", "เขตลาดกระบัง", "ลาดกระบัง", "10", "กรุงเทพมหานคร"
"101104", "แขวงลำปลาทิว", "ลำปลาทิว", "10520", "10520", "", "1011", "เขตลาดกระบัง", "ลาดกระบัง", "10", "กรุงเทพมหานคร"
"101105", "แขวงทับยาว", "ทับยาว", "10520", "10520", "", "1011", "เขตลาดกระบัง", "ลาดกระบัง", "10", "กรุงเทพมหานคร"
"101106", "แขวงขุมทอง", "ขุมทอง", "10520", "10520", "", "1011", "เขตลาดกระบัง", "ลาดกระบัง", "10", "กรุงเทพมหานคร"
"101203", "แขวงช่องนนทรี", "ช่องนนทรี", "10120", "10120", "", "1012", "เขตยานนาวา", "ยานนาวา", "10", "กรุงเทพมหานคร"
"101204", "แขวงบางโพงพาง", "บางโพงพาง", "10120", "10120", "", "1012", "เขตยานนาวา", "ยานนาวา", "10", "กรุงเทพมหานคร"
"101301", "แขวงจักรวรรดิ", "จักรวรรดิ", "10100", "10100", "", "1013", "เขตสัมพันธวงศ์", "สัมพันธวงศ์", "10", "กรุงเทพมหานคร"
"101302", "แขวงสัมพันธวงศ์", "สัมพันธวงศ์", "10100", "10100", "", "1013", "เขตสัมพันธวงศ์", "สัมพันธวงศ์", "10", "กรุงเทพมหานคร"
"101303", "แขวงตลาดน้อย", "ตลาดน้อย", "10100", "10100", "", "1013", "เขตสัมพันธวงศ์", "สัมพันธวงศ์", "10", "กรุงเทพมหานคร"
"101401", "แขวงสามเสนใน", "สามเสนใน", "10400", "10400", "", "1014", "เขตพญาไท", "พญาไท", "10", "กรุงเทพมหานคร"
"101406", "แขวงพญาไท", "พญาไท", "10400", "10400", "", "1014", "เขตพญาไท", "พญาไท", "10", "กรุงเทพมหานคร"
"101501", "แขวงวัดกัลยาณ์", "วัดกัลยาณ์", "10600", "10600", "", "1015", "เขตธนบุรี", "ธนบุรี", "10", "กรุงเทพมหานคร"
"101502", "แขวงหิรัญรูจี", "หิรัญรูจี", "10600", "10600", "", "1015", "เขตธนบุรี", "ธนบุรี", "10", "กรุงเทพมหานคร"
"101503", "แขวงบางยี่เรือ", "บางยี่เรือ", "10600", "10600", "", "1015", "เขตธนบุรี", "ธนบุรี", "10", "กรุงเทพมหานคร"
"101504", "แขวงบุคคโล", "บุคคโล", "10600", "10600", "", "1015", "เขตธนบุรี", "ธนบุรี", "10", "กรุงเทพมหานคร"
"101505", "แขวงตลาดพลู", "ตลาดพลู", "10600", "10600", "", "1015", "เขตธนบุรี", "ธนบุรี", "10", "กรุงเทพมหานคร"
"101506", "แขวงดาวคะนอง", "ดาวคะนอง", "10600", "10600", "", "1015", "เขตธนบุรี", "ธนบุรี", "10", "กรุงเทพมหานคร"
"101507", "แขวงสำเหร่", "สำเหร่", "10600", "10600", "", "1015", "เขตธนบุรี", "ธนบุรี", "10", "กรุงเทพมหานคร"
"101601", "แขวงวัดอรุณ", "วัดอรุณ", "10600", "10600", "", "1016", "เขตบางกอกใหญ่", "บางกอกใหญ่", "10", "กรุงเทพมหานคร"
"101602", "แขวงวัดท่าพระ", "วัดท่าพระ", "10600", "10600", "", "1016", "เขตบางกอกใหญ่", "บางกอกใหญ่", "10", "กรุงเทพมหานคร"
"101701", "แขวงห้วยขวาง", "ห้วยขวาง", "10310", "10310", "", "1017", "เขตห้วยขวาง", "ห้วยขวาง", "10", "กรุงเทพมหานคร"
"101702", "แขวงบางกะปิ", "บางกะปิ", "10310", "10310", "", "1017", "เขตห้วยขวาง", "ห้วยขวาง", "10", "กรุงเทพมหานคร"
"101704", "แขวงสามเสนนอก", "สามเสนนอก", "10310", "10310", "", "1017", "เขตห้วยขวาง", "ห้วยขวาง", "10", "กรุงเทพมหานคร"
"101801", "แขวงสมเด็จเจ้าพระยา", "สมเด็จเจ้าพระยา", "10600", "10600", "", "1018", "เขตคลองสาน", "คลองสาน", "10", "กรุงเทพมหานคร"
"101802", "แขวงคลองสาน", "คลองสาน", "10600", "10600", "", "1018", "เขตคลองสาน", "คลองสาน", "10", "กรุงเทพมหานคร"
"101803", "แขวงบางลำภูล่าง", "บางลำภูล่าง", "10600", "10600", "", "1018", "เขตคลองสาน", "คลองสาน", "10", "กรุงเทพมหานคร"
"101804", "แขวงคลองต้นไทร", "คลองต้นไทร", "10600", "10600", "", "1018", "เขตคลองสาน", "คลองสาน", "10", "กรุงเทพมหานคร"
"101901", "แขวงคลองชักพระ", "คลองชักพระ", "10170", "10170", "", "1019", "เขตตลิ่งชัน", "ตลิ่งชัน", "10", "กรุงเทพมหานคร"
"101902", "แขวงตลิ่งชัน", "ตลิ่งชัน", "10170", "10170", "", "1019", "เขตตลิ่งชัน", "ตลิ่งชัน", "10", "กรุงเทพมหานคร"
"101903", "แขวงฉิมพลี", "ฉิมพลี", "10170", "10170", "", "1019", "เขตตลิ่งชัน", "ตลิ่งชัน", "10", "กรุงเทพมหานคร"
